probe_loc_code,target_loc_code,facing_angle,ego_direction,steps,ego_direction_opt2
loc7,loc15,270,180,4,
loc7,loc16,0,90,3,
loc7,loc16,90,0,3,
loc7,loc16,180,90,3,
loc7,loc16,270,180,3,
loc8,loc1,0,180,8,
loc8,loc1,90,90,8,
loc8,loc1,180,0,8,
loc8,loc1,270,90,8,
loc8,loc2,0,180,9,
loc8,loc2,90,90,9,
loc8,loc2,180,0,9,
loc8,loc2,270,90,9,
loc8,loc3,0,180,6,
loc8,loc3,90,90,6,
loc8,loc3,180,0,6,
loc8,loc3,270,90,6,
loc8,loc4,0,180,9,
loc8,loc4,90,90,9,
loc8,loc4,180,0,9,
loc8,loc4,270,90,9,
loc8,loc5,0,180,7,
loc8,loc5,90,90,7,
loc8,loc5,180,0,7,
loc8,loc5,270,90,7,
loc8,loc6,0,180,8,
loc8,loc6,90,90,8,
loc8,loc6,180,0,8,
loc8,loc6,270,90,8,
loc8,loc7,0,180,5,
loc8,loc7,90,90,5,
loc8,loc7,180,0,5,
loc8,loc7,270,90,5,
loc8,loc9,0,180,6,
loc8,loc9,90,90,6,
loc8,loc9,180,0,6,
loc8,loc9,270,90,6,
loc8,loc10,0,180,7,
loc8,loc10,90,90,7,
loc8,loc10,180,0,7,
loc8,loc10,270,90,7,
loc8,loc11,0,180,4,
loc8,loc11,90,90,4,
loc8,loc11,180,0,4,
loc8,loc11,270,90,4,
loc8,loc12,0,180,1,
loc8,loc12,90,90,1,
loc8,loc12,180,0,1,
loc8,loc12,270,90,1,
loc8,loc13,0,180,5,
loc8,loc13,90,90,5,
loc8,loc13,180,0,5,
loc8,loc13,270,90,5,
loc8,loc14,0,180,4,
loc8,loc14,90,90,4,
loc8,loc14,180,0,4,
loc8,loc14,270,90,4,
loc8,loc15,0,180,3,
loc8,loc15,90,90,3,
loc8,loc15,180,0,3,
loc8,loc15,270,90,3,
loc8,loc16,0,180,2,
loc8,loc16,90,90,2,
loc8,loc16,180,0,2,
loc8,loc16,270,90,2,
loc9,loc1,0,0,2,
loc9,loc1,90,90,2,
loc9,loc1,180,180,2,
loc9,loc1,270,90,2,
loc9,loc2,0,0,3,
loc9,loc2,90,90,3,
loc9,loc2,180,180,3,
loc9,loc2,270,90,3,
loc9,loc3,0,0,4,90
loc9,loc3,90,90,4,0
loc9,loc3,180,180,4,90
loc9,loc3,270,90,4,180
loc9,loc4,0,0,5,90
loc9,loc4,90,90,5,0
loc9,loc4,180,180,5,90
loc9,loc4,270,90,5,180
loc9,loc5,0,0,1,
loc9,loc5,90,90,1,
loc9,loc5,180,180,1,
loc9,loc5,270,90,1,
loc9,loc6,0,0,2,
loc9,loc6,90,90,2,
loc9,loc6,180,180,2,
loc9,loc6,270,90,2,
loc9,loc7,0,0,3,90
loc9,loc7,90,90,3,0
loc9,loc7,180,180,3,90
loc9,loc7,270,90,3,180
loc9,loc8,0,0,4,90
loc9,loc8,90,90,4,0
loc9,loc8,180,180,4,90
loc9,loc8,270,90,4,180
loc9,loc10,0,90,1,
loc9,loc10,90,0,1,
